objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,Staff,Faculty advisor,Pages
coll001,v01no01.jpg,,,Volume 1 Issue 1,"p. chen, John L Hurst, Brian Kuode",1972-02-14,"Housebuilder's Journal Part 1, JHL; Architectural Circuitry, P.C.; Gardener's Almanac; A Short Comment: The School of Architecture, Identity, and Education, Peter Kommers; Bookshelf, JLH; A 221 Discussion Group,",Full Issue,,,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,"John L Hurst, P. Chen, Brian Kuode",,2
coll002,v01no02.jpg,,,Volume 1 Issue 2,"p. chen, John L Hurst, Brian Kuode",1972-02-28,"Urban Spring, BK; Faculty Meeting Feb. 15, P.C.; Client-Architect Relationship with Christopher Alexander, Interview of Dean Robert Trotter by P.C. and JIH",,,,,,,Image;StillImage,image/jpeg,,,,"John L Hurst, P. Chen, Brian Kuode",,2
coll003,v01no03.jpg,,,Volume 1 Issue 3,,1972-04-03,"Course shout Out, JLH; Architectural Circuitry, P.C.; Gardener's Almanac, JLH; SOme Initial Thougts on ""Being and Becoming"", Eco-Imp, School of Music Concerts, Cinema",,,,,,,Image;StillImage,image/jpeg,,,,"John L Hurst, P. Chen",,2
coll004,v01no04.jpg,,,Volume 1 Issue 4,,1972-05-03,"Architectural Circuitry, P.C.; Lookout, JHL; J. RIley (Landscape Arch.) Reports:; Journal, Philippa Stairs; Poems of Gordon Ware; Grapes; Adventures with Alice, A.B.; Gardener's Almanac",,,,,,,Image;StillImage,image/jpeg,,,,"John L Hurst, P. Chen",,4
coll005,v01no05.jpg,,,Volume 1 Issue 5,,1972-05-29,"Eugene is Dying to Becom a Big City; 1972 AIA Convention; Pneumatics 71-72, B.K.; Architectural Circuitry, P.C.; Lookout, JLH",,,,,,,Image;StillImage,image/jpeg,,,,"John L Hurst, P. Chen, Brian Kuode",,4
coll006,v02no01.jpg,,,Volume 2 Issue 1,,1972-11-20,"Picking Up to Put Down, Rick Phillips; Shorts; About Apples; An Unusual Architectural School; Why is This Man Smiling?; Group Stages Comeback;",,,,,,,Image;StillImage,image/jpeg,,,,"Sandra Trubon, Richard Philips, Phil Allen",,2
coll007,v02no02.jpg,,,Volume 2 Issue 2,,1973-01-22,"Gentleman; MORE!; About Apples; Shorts; A Grant for Funtis; A Few Notes on Forum; Tripping; Women in Architecture, Landscape Architecture, and Planning; ",,,,,,,Image;StillImage,image/jpeg,,,,"Tiffany Pudge, Sweetie, Sandra Trenton, Phil Allen, Nancy Bennett, and a cast of thousands",,2
coll008,v02no03.jpg,,,Volume 2 Issue 3,,1973-02-22,"King's Architect, Jan Wampler; Shorts; About Apples; Letters to the Editors; Innovations in Landscape, Gene Bressler; Spring Term; Urban Spring; Competition; Women in Architecture, D Galanere; Grassroots West 73; Man and the Oregon Coast ",,,,,,,Image;StillImage,image/jpeg,,,,"Tffany Pudge, Sweetie, JM, Nancy Bennet, Phil Allen, and a Cast of Thousands",,4
coll009,v02no04.jpg,,,Volume 2 Issue 4,,1973-03-24,"Course Schedule; Tinkertoy 73'; UP, P.A.; Urbane Renewal, Marc Schiff; About Apples; Landmarks Eugene; OSHA",,,,,,,Image;StillImage,image/jpeg,,,,"Dan Childress, Phil Allen",,4
coll010,v02no05.jpg,,,Volume 2 Issue 5,,1973-04-23,Letters from the Editors; Shorts; About Apples; Summer Design,,,,,,,Image;StillImage,image/jpeg,,,,,,4
coll011,v02no06.jpg,,,Volume 2 Special Issue,,1973,"From the Boss, Bill Gilland; Course Schedule; Architecture Program, Architecture Courses;",,,,,,,Image;StillImage,image/jpeg,,,,,,2
coll012,v03no01.jpg,,,Volume 3 Issue 1,,1973-09-01,"Shellenbarger New Assistant Department Head; Welcome Back to the Architecture and Interior Architecture Students, Bill Gilland; Course Schedule;",,,,,,,Image;StillImage,image/jpeg,,,,,,4
coll013,v03no02.jpg,,,Volume 3 Issue 2,,1973-10-30,"Avenu Editorial Pays Off; Thoughts to Vent your Frustrations by Halloween Night '73; Regional Convention; New From Afar; West Coast Womens Design Conference, About Apples, Archigrads Gathering; New Job Closes Office; Interior News; What's AVENU?; Bag it!; Avenu Guide To Historic Architecture Eugene, Oregon; ",,,,,,,Image;StillImage,image/jpeg,,,,"John Barker, Phil Allen, G Leopold Smith, Roger Swayze, and a Cast of Thousands",,4
coll014,v03no03.jpg,,,Volume 3 Issue 3,"Leaton, Nancy; Childress, Dan; Smith, G. Leopold",1973-11-28,"Archigrad News, Coke Fund, Avenu... Sells Out?; Landscape News, Peter Rotheschild; About Apples; New Triumphs; News fromt he Design Sub-Committee; Ghost Towns: places where silence is eloquent, Ricardo L. Castro; ",,,,,,,Image;StillImage,image/jpeg,,,,"Nancy Leaton, Dan Childress, G Leopold Smith, and A Cast of Thousands",,4
coll015,v03no04.jpg,,,Volume 3 Issue 4,,1974-01-02,"Editorial, John Barker; About Apples; Due to Popular Demand; Arch Angel; Miami, J.B.; West Coasts Women's Design Conference, Rosaria Hodgon and Sandra Trubeau; Study A-Broad;  New Admission Policy; Deisgn in a Nutshell",,,,,,,Image;StillImage,image/jpeg,,,,"Leo Smith, Laura Hill, John Barker, Roger Swayze",,4
coll016,v03no05.jpg,,,Volume 3 Issue 5,,1974-01-31,"Letters; Avenu Apologizes for Ms-Take; Shorts; Rip-Off; West Coast Women Plan Design COnference; Library Needs Student Input; Avenu's Guide to Resources for Design Winter '74; Polyurethane House, Mike Glanz; About Apples; ",,,,,,,Image;StillImage,image/jpeg,,,,,,4
coll017,v03no06.jpg,,,Volume 3 Issue 6,,1974-03-15,"This Is the Greatest Offer Ever Made by Any School; Architecture; Urban Spring, JHB; Shorts; West Coast Women's Design Conference; Reynolds Strikes Again, Jerry Finrow; Educational Opportunities",,,,,,,Image;StillImage,image/jpeg,,,,"John Baker, JM, G.L. Smith, Also! L. Hill, R. Swayze, E. Gunderson",,4
coll018,v03no07.jpg,,,Volume 3 Issue 7,,1974-04-11,"Interiors to Face Review, Roger Swayze; ifc money in limbo; About Apples; Coming Attractions; The Oregon Light: Two Essays, Ricardo L. Castro; Est Coast Women's Design Conference Official Program",,,,,,,Image;StillImage,image/jpeg,,,,,,4
coll019,v03no08.jpg,,,Volume 3 Issue 8,,1974-05-14,"Classes Canceled for Friday Moratorium; Coming Attrations; Go Fly a Kite; About Apples; Response to the Women's Conference, Shelia L. de Bretteville; Reflections on the West Coast Women's Conference; Karen and Thinda",,,,,,,Image;StillImage,image/jpeg,,,,,,4
coll020,v03no09.jpg,,,Volume 3 Issue 9,"Smith, G. Leopold; Barber, John; Wayne, Rogers",1974-05-30,"Coming Back? Going Away? Hanging Around?; Biological City, H.H. Waechter; You Better Plan to Read This; School News; Don't Forget Potlatch",,,,,,,Image;StillImage,image/jpeg,,,,"G Leopold Smith, John Barber, Rogers Wayne",,4
coll021,v04no01.jpg,,,Volume 4 Issue 1,,1974-09-23,"A Few Words from the Chief, Bill Gilland; Utsey Does it Again; Remember the Moratorium?; ARCH DEPT MENU",,,,,,,Image;StillImage,image/jpeg,,,,,,4
coll022,v04no02.jpg,,,Volume 4 Issue 2,,1974-10-24,"Letters; Wayne Jewett; Safety in Numbers, Becky Barnes; Richard Britz; More new Faces: Phil Doles, David Maglaty; Rob Gray, SCB;  Community Design Center; The Avenu Story, J Barker; Bitch Bitch Bitch, Paul D. Klein",,,,,,,Image;StillImage,image/jpeg,,,,"John Barker, Tracy Brown, and Cinda Boatwright",,4
coll023,v04no03.jpg,,,Volume 4 Issue 3,,1974-11-15,"Bitch Bitch Bitch, Mike Shellenbarger; emu craft center, Carl Briders; Bus Shelter, Becky Barnes; HMS Pinafore (Or: the Entropy of a System), Gil Farnsnow; Women at Work, Marilyn Neill; a ""HERSTORY"" of women in design, Roger Swayze; Coming Attractions; Arch Meeting, David Terry; Japan, R.A. Smith; The Tenth Honor Awards Program",,,,,,,Image;StillImage,image/jpeg,,,,,,4
coll024,v04no04.jpg,,,Volume 4 Issue 4,,1974-12-05,"Letters; E.C.S. S.O.S; Alternative Agriculture, Cynthies Smith; No. 2 Carl Bridgers; Fargo, N.D.: You COulda Been There, Tracy Brown; Japan, Denmark, and The World, R.A. Smith and Carl Bridgers",,,,,,,Image;StillImage,image/jpeg,,,,"John Barker, Rebecca Barnes, Calr Bridgers, Tracy Brown, Steve Buhlers, Timothy Deeks, Eric Gamer, Paul Hass, Paul Klein, Steve Lawrence, David Maglatti, Marilyn Neill, Geri Perkins, Roger Swayze, Howard Sword",Mike Utsey,2
coll025,v04no05.jpg,,,Volume 4 Issue 5,John Barker,1975-01-02,"Letters; A New Shoulder to Cry On, The Duke; Finrow's Finlandia, Jerry and Gaulla Finrow",,,,,,,Image;StillImage,image/jpeg,,,,"John Barker, Rebecca Barnes, Calr Bridgers, Tracy Brown, Steve Buhlers, Timothy Deeks, Eric Gamer, Paul Hass, Paul Klein, Steve Lawrence, David Maglatti, Marilyn Neill, Geri Perkins, Roger Swayze, Howard Sword, David Terry",Mike Utsey,4
coll026,v04no06.jpg,,,Volume 4 Issue 6,John Barker,1975-02-04,"Bitch Bitch Bitch, Paul D. Klein; Mui and Joan, Christine Pickrell and Chris Covell; Architecture for Kids, Becky Barnes; Book Corner, Dan Seiser; The Community Development Act, Becky Barnes; LA Lounge, Tracy Brown; Survey Results; It's on the Line! ""Farnsnow Cup""; Let's not Build Uncle Tom's Cabin Again, R. L. Castro; Lectures; Schedules Conflict, Mike Runyon; Review Blues, MR; Yours for the Asking, Becky Barnes; In the Works, MR",,,,,,,Image;StillImage,image/jpeg,,,,"Becky Barnes, Steve Buhler, Tracy Brown, Chris Covell, Tim Deeks, Shahab Ghani, Paul Hass, Paul Klein, David Maglatty, Peter Markus, Rick Pedley, Chris Pcikrell, Mike Runyon, Dan Seiser, Roger Swaze, Howard Sword, Terry Vanderkooy",Mike Utsey,4
coll027,v04no07.jpg,,,Volume 4 Issue 7,,1975-02-14,"Return of the Prodigious Professor, Becky Barnes; Forum; The Hubka Barn, Timothy Williams Deeks; Three Days in Tuscon or: What Become of the Desert, John Marvel; Maya Arch. UO News Bureau; ",,,,,,,Image;StillImage,image/jpeg,,,,"Paul Klein, Tracy Brown, Christine Pickroll, Paul Hess",,4
coll028,v04no08.jpg,,,Volume 4 Issue 8,,1975-03-14,"Letters; Arch Angel; Arcosanti, Dan Seiser; Big Bucks, From ACSA Newsletter; Lay of the Land, Pat Olsen; Reynold's Rap, Terry Van der Kooy; More Shop Talk;  Watergate Fall-Out: End of Practicing Faculty? John Barker; Course Eval Information, Mike Runyon; I'd Rather Be Sailing; Registration Page",,,,,,,Image;StillImage,image/jpeg,,,,,,8
coll029,v04no09.jpg,,,Volume 4 Issue 9,,1975-04-11,"Letters; Course Evaluation Information, Michael Runyon; A Morning With Pietro Belluschi, JB/DS",,,,,,,Image;StillImage,image/jpeg,,,,"Dan Swayze, Stuart Nilley, Curtis R. Bates, Sadie P Billy",,4
coll030,v04no10.jpg,,,Volume 4 Issue 10,,1975-05-02,"Letters, Events, and Anouncements, Russ Phillips; Arch Angel; Pietro Belluschi Part II, Dan Swayze, Robert, Leslie, John Barker; Women in Design, Robbie Arnett; Farwell Arder, Denis Grace and John Barker, S.O.S. Carleton Knight, III; Building Spring, Kate Gawf; The Poet's Corner, Randy Monaghan; Bitch Bitch Bitch, Paul Klein",,,,,,,Image;StillImage,image/jpeg,,,,"Curtis R. Baces, Rick Pedley, Kurt Mitchell, John Barker",,4
coll031,v04no11.jpg,,,Volume 4 Issue 11,Stuart Nibley,1975-05-11,"Valley Developement Proposal Unveiled E.R.A. Officials ""Tickled Pink""; Arch Angel; Final Review Schedule; Design Village '75; Jerry and Gunilla, Jerry and Gunilla Finrow; ACSA/AIA Teacher's Seminar. P.R; Conflicts of Interest! Timothy William Deeke; Student What?! Curtis R. Bilen; Gil Farnsnow Drops By, Gil Farnsnow; Work, Kate Cawr",,,,,,,Image;StillImage,image/jpeg,,,,"John Barker, Paul Hess, Maiay L Cliue, John ",,6
coll032,v05no01.jpg,,,Volume 5 Issue 1,,1975-09-23,"To Students in Architecture and Interior Architecture, Bill Gilland; Arch. Angel; Calendar; Announcement",,,,,,,Image;StillImage,image/jpeg,,,,"Paul Hess, Lurte Bruka",,2
